Título;Endereço;Taxa;Área;Quartos;Banheiros;Suítes;Vagas;Preço
Apartamento com 3 Quartos à Venda, 83m²; | Pitimbu, Natal - RN;R$ 409;83;3;2;2;2;R$ 310.000
Apartamento com Quarto à Venda, 100m²;Rua Acari - Lagoa Nova, Natal - RN;R$ 550;100;1;3;3;2;R$ 440.000
Apartamento com 4 Quartos à Venda, 318m²;Rua Senador José Ferreira de Souza, 1872 - Candelária, Natal - RN;R$ 1.200;318;4;5;5;3;R$ 1.100.000
Apartamento com 3 Quartos à Venda, 196m²;Rua Ismael Pereira da Silva, 1515 - Capim Macio, Natal - RN;;196;3;3;3;4;R$ 1.500.000
Apartamento com 3 Quartos à Venda, 75m²;Avenida Rodrigues Alves, 09 - Tirol, Natal - RN;;75;3;2;2;2;R$ 250.000
Apartamento com 3 Quartos à Venda, 123m²;Rua Pinto Martins, 1044 - Areia Preta, Natal - RN;R$ 1.450;123;3;3;3;2;R$ 240.000
Apartamento com 2 Quartos à Venda, 57m²;Rua Ministro Mirabeau da Cunha Melo, 1930 - Candelária, Natal - RN;R$ 600;57;2;2;2;1;R$ 250.000
Apartamento com 3 Quartos à Venda, 200m²;Rua Apodi, 822 - Tirol, Natal - RN;R$ 1.300;200;3;3;3;2;R$ 450.000
Apartamento com 2 Quartos à Venda/Aluguel 46m²;Avenida Deputado Antônio Florêncio de Queiroz, 270 - Ponta Negra, Natal - RN;;46;2;1;1;1;R$ 179.900
Apartamento com 2 Quartos à Venda, 65m²;Rua Ataulfo Alves, 1898 - Candelária, Natal - RN;R$ 500;65;2;2;2;1;R$ 260.000
Apartamento com 3 Quartos à Venda, 96m²;Alameda das Mansões - Candelária, Natal - RN;R$ 560;96;3;3;3;2;R$ 454.900
Apartamento com 2 Quartos à Venda, 74m²;Avenida Governador Juvenal Lamartine, 150 - Tirol, Natal - RN;R$ 600;74;2;2;2;1;R$ 150.000
Apartamento com 3 Quartos à Venda, 77m²;Rua Neuza Farache, 1971 - Capim Macio, Natal - RN;R$ 450;77;3;3;3;1;R$ 275.500
Apartamento com 3 Quartos à Venda/Aluguel 134m²;Avenida Governador Tarcísio de Vasconcelos Maia, 2163 - Candelária, Natal - RN;;134;3;3;3;2;R$ 310.000
