Título;Endereço;Taxa;Área;Quartos;Banheiros;Suítes;Vagas;Preço
Apartamento com 4 Quartos à Venda, 503m²;Rua Doutor Manoel Dantas - Petrópolis, Natal - RN;;503;4;6;6;4;R$ 2.600.000
Apartamento com 2 Quartos à Venda, 68m²; | Candelária, Natal - RN;R$ 350;68;2;1;1;1;R$ 170.000
Apartamento com 4 Quartos à Venda, 214m²;Rua General Gustavo Cordeiro de Faria - Petrópolis, Natal - RN;R$ 1.500;214;4;6;6;3;R$ 1.100.000
Apartamento com 2 Quartos à Venda, 60m²;Avenida Amintas Barros, 1201 - Lagoa Nova, Natal - RN;;60;2;1;1;1;R$ 203.112
Apartamento com 2 Quartos à Venda, 84m²;Rua Eletricista João Trajano da Silva - Lagoa Nova, Natal - RN;R$ 500;84;2;2;2;2;R$ 185.000
Apartamento com 3 Quartos à Venda, 10m²; | Pitimbu, Natal - RN;R$ 350;10;3;1;1;1;R$ 275.000
Apartamento com 2 Quartos à Venda, 55m²;Rua Antônio Madruga - Capim Macio, Natal - RN;R$ 270;55;2;2;2;2;R$ 269.000
Apartamento com 3 Quartos à Venda, 92m²;Rua Estudante José Francisco de Souza Filho, 245 - Capim Macio, Natal - RN;;92;3;3;3;2;R$ 499.000
Apartamento com 3 Quartos à Venda, 187m²;Rua Pio Cavalcanti - Tirol, Natal - RN;R$ 1.500;187;3;2;2;3;R$ 900.000
Apartamento com 4 Quartos à Venda, 503m²;Rua Doutor Manoel Dantas - Petrópolis, Natal - RN;;503;4;6;6;4;R$ 2.400.000
Apartamento com 2 Quartos à Venda, 46m²; | Ponta Negra, Natal - RN;R$ 203;46;2;1;1;1;R$ 169.900
Apartamento com 2 Quartos à Venda, 57m²; | Ribeira, Natal - RN;;57;2;2;2;2;R$ 250.000
Apartamento com 3 Quartos à Venda, 109m²;Rua Aníbal Correia - Lagoa Nova, Natal - RN;R$ 700;109;3;4;4;2;R$ 485.000
Apartamento com 3 Quartos à Venda, 75m²; | Ribeira, Natal - RN;R$ 430;75;3;1;1;2;R$ 275.000
Apartamento com 3 Quartos à Venda, 80m²; | Ponta Negra, Natal - RN;;80;3;3;3;2;R$ 487.000
Apartamento com 3 Quartos à Venda, 77m²;Rua Professora Gipse Montenegro, 246 - Capim Macio, Natal - RN;R$ 320;77;3;3;3;1;R$ 480.000
Apartamento com 3 Quartos à Venda, 254m²;Rua Cláudio Machado - Petrópolis, Natal - RN;R$ 10;254;3;4;4;3;R$ 820.000
Apartamento com 3 Quartos à Venda, 142m²; | Capim Macio, Natal - RN;R$ 701;142;3;5;5;3;R$ 699.990
Apartamento com 3 Quartos à Venda, 113m²;Avenida Amintas Barros - Lagoa Nova, Natal - RN;;113;3;4;4;2;R$ 500.000
Apartamento com 3 Quartos à Venda, 96m²;Avenida Nascimento de Castro, 1600 - Lagoa Nova, Natal - RN;;96;3;2;2;2;R$ 240.000
Apartamento com 3 Quartos à Venda, 71m²;Rua Militão Chaves - Candelária, Natal - RN;;71;3;2;2;2;R$ 160.000
Apartamento com 4 Quartos à Venda, 160m²;Avenida Nascimento de Castro, 2455 - Lagoa Nova, Natal - RN;R$ 550;160;4;5;5;--;R$ 900.000
Apartamento com 2 Quartos à Venda, 45m²; | Pajuçara, Natal - RN;;45;2;1;1;1;R$ 152.000
Apartamento com 3 Quartos à Venda, 120m²; | Tirol, Natal - RN;R$ 660;120;3;1;1;2;R$ 750.000
Apartamento com 3 Quartos à Venda, 85m²; | Ponta Negra, Natal - RN;;85;3;3;3;2;R$ 450.000
Apartamento com 4 Quartos à Venda, 150m²;Rua General Gustavo Cordeiro de Faria, 473 - Petrópolis, Natal - RN;R$ 850;150;4;4;4;3;R$ 750.000
Apartamento com 2 Quartos à Venda, 56m²;Rua Eletricista Elias Ferreira - Candelária, Natal - RN;R$ 380;56;2;2;2;1;R$ 250.000
Apartamento com 4 Quartos à Venda, 250m²; | Lagoa Nova, Natal - RN;R$ 700;250;4;1;1;3;R$ 599.000
Apartamento com 2 Quartos à Venda, 51m²; | Pitimbu, Natal - RN;R$ 290;51;2;1;1;1;R$ 150.000
Apartamento com 2 Quartos à Venda, 89m²;Avenida Governador Sílvio Pedroza, 200 - Areia Preta, Natal - RN;;89;2;1;1;1;R$ 275.000
Apartamento com 2 Quartos à Venda, 57m²;Rua Moisés Sesyon - Candelária, Natal - RN;R$ 340;57;2;1;1;1;R$ 230.000
Apartamento com 4 Quartos à Venda, 234m²;Rua Énico Monteiro, 1946 - Capim Macio, Natal - RN;R$ 1.600;234;4;4;4;3;R$ 990.000
Apartamento com 3 Quartos à Venda, 91m²;Rua dos Antúrios - Capim Macio, Natal - RN;;91;3;3;3;2;R$ 440.000
Apartamento com 2 Quartos à Venda, 55m²; | Planalto, Natal - RN;R$ 250;55;2;1;1;1;R$ 100.000
Apartamento com 3 Quartos à Venda, 160m²;Avenida Rodrigues Alves, 1169 - Tirol, Natal - RN;R$ 700;160;3;2;2;2;R$ 420.000
Apartamento com 3 Quartos à Venda, 136m²;Rua dos Tororós, 730 - Lagoa Nova, Natal - RN;;136;3;1;1;3;R$ 1.076.673
Apartamento com Quarto à Venda, 42m²; | Ponta Negra, Natal - RN;;42;1;1;1;1;R$ 165.000
Apartamento com 2 Quartos à Venda, 55m²; | Cidade Satelite, Natal - RN;R$ 225;55;2;1;1;1;R$ 105.000
Apartamento com 3 Quartos à Venda, 142m²;Rua Ismael Pereira da Silva - Capim Macio, Natal - RN;;142;3;5;5;2;R$ 746.000
Apartamento com 2 Quartos à Venda, 72m²; | Capim Macio, Natal - RN;;72;2;1;1;1;R$ 165.000
Apartamento com 2 Quartos à Venda, 72m²; | Capim Macio, Natal - RN;;72;2;1;1;1;R$ 165.000
Apartamento com 2 Quartos à Venda, 83m²; | Capim Macio, Natal - RN;R$ 450;83;2;2;2;1;R$ 200.000
Apartamento com 3 Quartos à Venda, 94m²;Avenida Miguel Castro - Lagoa Nova, Natal - RN;;94;3;3;3;2;R$ 450.000
Apartamento com 4 Quartos à Venda, 333m²;Avenida Rodrigues Alves, 410 - Petrópolis, Natal - RN;R$ 2.900;333;4;6;6;3;R$ 1.650.000
Apartamento com 2 Quartos para Venda/Aluguel 54m²;Avenida Engenheiro Roberto Freire - Ponta Negra, Natal - RN;R$ 420;54;2;2;2;1;R$ 370.000
Apartamento com 3 Quartos à Venda, 80m²; | Candelária, Natal - RN;R$ 500;80;3;2;2;1;R$ 230.000
Apartamento com 2 Quartos à Venda, 57m²; | Ponta Negra, Natal - RN;R$ 360;57;2;2;2;1;R$ 235.000
Apartamento com 2 Quartos à Venda, 65m²; | Candelária, Natal - RN;R$ 415;65;2;1;1;1;R$ 250.000
Apartamento com 2 Quartos à Venda, 56m²;Rua Industrial João Motta, 1637 - Capim Macio, Natal - RN;;56;2;2;2;--;R$ 260.000
Apartamento com 3 Quartos à Venda, 83m²; | Capim Macio, Natal - RN;R$ 535;83;3;2;2;1;R$ 230.000
Apartamento com 4 Quartos à Venda, 261m²;Avenida Governador Sílvio Pedroza - Areia Preta, Natal - RN;R$ 1.400;261;4;6;6;4;R$ 1.100.000
Apartamento com 4 Quartos à Venda, 166m²;Rua Antídio de Azevedo - Lagoa Nova, Natal - RN;;166;4;--;--;--;R$ 935.000
Apartamento com 2 Quartos à Venda, 64m²; | Ponta Negra, Natal - RN;R$ 560;64;2;1;1;2;R$ 320.000
Apartamento com 4 Quartos à Venda, 400m²; | Barro Vermelho, Natal - RN;R$ 975;400;4;6;6;3;R$ 1.000.000
Apartamento com 2 Quartos à Venda, 84m²;Rua Eletricista João Trajano da Silva - Lagoa Nova, Natal - RN;R$ 500;84;2;2;2;2;R$ 177.000
Apartamento com 3 Quartos à Venda, 97m²;Rua Desembargador Túlio Bezerra de Melo, 0 - Candelária, Natal - RN;;97;3;2;2;2;R$ 480.000
Apartamento com 3 Quartos à Venda, 140m²;Rua Doutor Francisco Leite de Carvalho - Lagoa Nova, Natal - RN;;140;3;4;4;2;R$ 850.000
Apartamento com 3 Quartos à Venda, 106m²;Rua Jaguarari, 1539 - Candelária, Natal - RN;R$ 450;106;3;4;4;3;R$ 410.000
Apartamento com 2 Quartos à Venda, 47m²; | Ponta Negra, Natal - RN;;47;2;1;1;1;R$ 250.000
Apartamento com 4 Quartos à Venda; | Capim Macio, Natal - RN;R$ 450;--;4;4;4;1;R$ 450.000
Apartamento com 3 Quartos à Venda; | Lagoa Nova, Natal - RN;R$ 700;--;3;4;4;2;R$ 650.000
Apartamento com 3 Quartos à Venda, 163m²;Avenida Campos Sáles - Petrópolis, Natal - RN;;163;3;5;5;3;R$ 1.100.000
Apartamento com 3 Quartos à Venda, 76m²; | Capim Macio, Natal - RN;R$ 455;76;3;3;3;2;R$ 190.000
Apartamento com 4 Quartos à Venda, 158m²; | Tirol, Natal - RN;;158;4;2;2;2;R$ 380.000
Apartamento com 2 Quartos à Venda, 55m²; | Capim Macio, Natal - RN;;55;2;1;1;1;R$ 260.000
Apartamento com 3 Quartos à Venda, 111m²;Avenida Lima e Silva - Lagoa Nova, Natal - RN;R$ 980;111;3;4;4;2;R$ 365.000
Apartamento com 3 Quartos para Venda/Aluguel 92m²;Rua Alexandre Câmara, 1977 - Capim Macio, Natal - RN;R$ 730;92;3;3;3;2;R$ 450.000
Apartamento com 2 Quartos à Venda, 55m²; | Ponta Negra, Natal - RN;R$ 400;55;2;2;2;1;R$ 250.000
Apartamento com 2 Quartos à Venda, 60m²; | Ponta Negra, Natal - RN;R$ 300;60;2;2;2;1;R$ 290.000
Apartamento com 2 Quartos à Venda, 49m²;Avenida dos Caiapós, 121 - Pitimbu, Natal - RN;R$ 280;49;2;2;2;1;R$ 194.900
Apartamento com 2 Quartos à Venda, 55m²;Rua Miguel Godeiro Primo, 100 - Ponta Negra, Natal - RN;R$ 560;55;2;1;1;1;R$ 360.000
Apartamento com 4 Quartos à Venda, 130m²;Rua José Aurino da Rocha - Lagoa Nova, Natal - RN;;130;4;3;3;3;R$ 720.000
Apartamento com 2 Quartos à Venda, 53m²;Rua Osvaldo Fortes do Rêgo - Ponta Negra, Natal - RN;R$ 400;53;2;2;2;1;R$ 260.000
Apartamento com 3 Quartos à Venda, 80m²;Rua Themístocles Duarte - Nova Descoberta, Natal - RN;R$ 230;80;3;2;2;1;R$ 135.000
Apartamento com 3 Quartos à Venda, 271m²;Rua Joaquim Fabrício - Petrópolis, Natal - RN;;271;3;4;4;3;R$ 1.800.000
Apartamento com 2 Quartos à Venda, 56m²;Rua da Campína, 140 - Ponta Negra, Natal - RN;;56;2;1;1;1;R$ 240.000
Apartamento com 3 Quartos à Venda, 130m²; | Lagoa Nova, Natal - RN;R$ 750;130;3;1;1;3;R$ 780.000
Apartamento com 3 Quartos à Venda, 108m²;Avenida Nascimento de Castro - Lagoa Nova, Natal - RN;R$ 490;108;3;4;4;2;R$ 475.000
Apartamento com 3 Quartos à Venda, 90m²;Rua Ismael Pereira da Silva, 1540 - Capim Macio, Natal - RN;R$ 10;90;3;2;2;2;R$ 450.000
Apartamento com 3 Quartos à Venda, 98m²; | Ponta Negra, Natal - RN;R$ 800;98;3;1;1;2;R$ 310.000
Apartamento com 3 Quartos à Venda, 123m²; | Lagoa Nova, Natal - RN;R$ 700;123;3;1;1;2;R$ 485.000
Apartamento com 2 Quartos para Venda/Aluguel 58m²; | Cidade da Esperança, Natal - RN;R$ 200;58;2;1;1;1;R$ 118.000
Apartamento com 3 Quartos à Venda, 118m²;Rua Jornalista Francisco Sinedino - Lagoa Nova, Natal - RN;R$ 550;118;3;5;5;2;R$ 570.000
Apartamento com 2 Quartos à Venda, 60m²; | Ponta Negra, Natal - RN;R$ 550;60;2;2;2;1;R$ 280.000
Apartamento com 3 Quartos à Venda, 98m²;Rua Pastor Jerônimo Gueiros - Tirol, Natal - RN;;98;3;2;2;2;R$ 420.000
Apartamento com 4 Quartos à Venda, 170m²; | Lagoa Nova, Natal - RN;;170;4;5;5;4;R$ 1.100.000
Apartamento com 2 Quartos à Venda, 57m²;Rua Engenheiro Vulpiano Cavalcanti Filho - Rocas, Natal - RN;R$ 300;57;2;2;2;2;R$ 250.000
Apartamento com 2 Quartos à Venda, 64m²; | Ponta Negra, Natal - RN;R$ 410;64;2;2;2;1;R$ 290.000
Apartamento com 4 Quartos à Venda, 176m²; | Petrópolis, Natal - RN;R$ 1.100;176;4;1;1;2;R$ 590.000
Apartamento com 3 Quartos à Venda, 120m²;Rua Doutor Manoel Dantas, 479 - Petrópolis, Natal - RN;;120;3;4;4;2;R$ 504.000
Apartamento com 3 Quartos à Venda, 87m²;Rua da Turquesa - Lagoa Nova, Natal - RN;;87;3;3;3;2;R$ 390.000
Apartamento com 4 Quartos à Venda, 225m²;Avenida Governador Sílvio Pedroza - Areia Preta, Natal - RN;R$ 1.200;225;4;5;5;3;R$ 1.399.000
Apartamento com 3 Quartos à Venda, 123m²; | Candelária, Natal - RN;R$ 550;123;3;4;4;2;R$ 495.000
Apartamento com 2 Quartos à Venda, 58m²;Avenida Almirante Alexandrino de Alencar, 1801 - Lagoa Seca, Natal - RN;;58;2;2;2;1;R$ 320.000
Apartamento com 2 Quartos à Venda, 55m²;Avenida Campos Sales, 703 - Tirol, Natal - RN;;55;2;2;2;1;R$ 350.000
Apartamento com 2 Quartos à Venda, 59m²;Rua Lectícia Garcia, 105 - Neópolis, Natal - RN;R$ 220;59;2;2;2;1;R$ 115.000
Apartamento com 3 Quartos à Venda, 89m²; | Neópolis, Natal - RN;;89;3;1;1;1;R$ 150.000
Apartamento com 3 Quartos à Venda, 196m²; | Capim Macio, Natal - RN;R$ 1.100;196;3;5;5;4;R$ 1.260.000
Apartamento com 2 Quartos à Venda, 54m²;Rua Escritor Jaime Adour Câmara - Capim Macio, Natal - RN;;54;2;2;2;1;R$ 215.000
Apartamento com 3 Quartos à Venda, 260m²; | Morro Branco, Natal - RN;R$ 800;260;3;4;4;2;R$ 600.000
Apartamento com 2 Quartos à Venda, 50m²;Avenida dos Caiapós - Pitimbu, Natal - RN;;50;2;1;1;1;R$ 110.000
Apartamento com 3 Quartos à Venda, 103m²; | Tirol, Natal - RN;R$ 515;103;3;3;3;2;R$ 550.000
Apartamento com 2 Quartos à Venda, 64m²;Avenida das Brancas Dunas, 255 - Candelária, Natal - RN;R$ 350;64;2;2;2;1;R$ 295.000
Apartamento com 3 Quartos à Venda/Aluguel 103m²;Rua Monsenhor José Paulino, 1076 - Tirol, Natal - RN;;103;3;4;4;2;R$ 480.000
Apartamento com 4 Quartos à Venda, 100m²; | Ponta Negra, Natal - RN;;100;4;2;2;1;R$ 310.000
Apartamento com 3 Quartos à Venda, 92m²; | Capim Macio, Natal - RN;;92;3;1;1;--;R$ 450.000
Apartamento com 4 Quartos à Venda, 171m²;Rua Morais Navarro - Lagoa Nova, Natal - RN;;171;4;4;4;3;R$ 630.000
Apartamento com 3 Quartos à Venda, 103m²;Rua Mipibu - Petrópolis, Natal - RN;;103;3;2;2;2;R$ 465.000
Apartamento com 3 Quartos à Venda, 150m²;Rua Miramar, 434 - Petrópolis, Natal - RN;R$ 1.130;150;3;2;2;3;R$ 1.200.000
Apartamento com 4 Quartos à Venda, 164m²; | Lagoa Nova, Natal - RN;;164;4;1;1;3;R$ 950.000
Apartamento com 3 Quartos à Venda, 195m²;Rua Doutor Ewerton Dantas Cortez - Tirol, Natal - RN;;195;3;4;4;3;R$ 620.000
Apartamento com 3 Quartos à Venda, 122m²; | Petrópolis, Natal - RN;R$ 630;122;3;1;1;2;R$ 478.000
Apartamento com 3 Quartos à Venda, 65m²; | Capim Macio, Natal - RN;R$ 150;65;3;2;2;1;R$ 125.000
Apartamento com 3 Quartos à Venda, 214m²; | Petrópolis, Natal - RN;R$ 1.771;214;3;2;2;3;R$ 1.490.000
Apartamento com 2 Quartos à Venda, 119m²; | Lagoa Nova, Natal - RN;;119;2;1;1;2;R$ 641.439
Apartamento com 4 Quartos à Venda, 181m²; | Lagoa Nova, Natal - RN;;181;4;5;5;4;R$ 802.774
Apartamento com 3 Quartos à Venda, 139m²; | Tirol, Natal - RN;R$ 800;139;3;1;1;2;R$ 789.900
Apartamento com 4 Quartos à Venda, 225m²;Avenida Governador Sílvio Pedroza - Areia Preta, Natal - RN;R$ 1.200;225;4;5;5;3;R$ 1.399.000
Apartamento com 3 Quartos à Venda, 215m²;Avenida Senador Salgado Filho - Tirol, Natal - RN;;215;3;4;4;3;R$ 1.336.000
Apartamento com 2 Quartos à Venda, 57m²;Rua Maria Auxiliadora, 776 - Tirol, Natal - RN;R$ 480;57;2;2;2;1;R$ 219.900
Apartamento com 3 Quartos à Venda, 98m²; | Tirol, Natal - RN;R$ 850;98;3;3;3;2;R$ 455.000
Apartamento com Quarto à Venda, 45m²; | Areia Preta, Natal - RN;R$ 467;45;1;1;1;1;R$ 140.000
Apartamento com 3 Quartos à Venda, 98m²; | Petrópolis, Natal - RN;;98;3;2;2;1;R$ 520.000
Apartamento com 2 Quartos à Venda, 55m²;Rua Jundiaí, 429 - Tirol, Natal - RN;;55;2;2;2;1;R$ 280.000
Apartamento com 2 Quartos à Venda, 56m²;Avenida Engenheiro Roberto Freire, 3112 - Ponta Negra, Natal - RN;R$ 500;56;2;3;3;1;R$ 360.000
Apartamento com 2 Quartos à Venda, 58m²; | Lagoa Nova, Natal - RN;R$ 410;58;2;1;1;1;R$ 175.000
Apartamento com 4 Quartos à Venda, 191m²;Avenida Campos Sales, 767 - Tirol, Natal - RN;;191;4;5;5;19;R$ 850.000
Apartamento com 4 Quartos à Venda, 109m²;Rua Aníbal Correia - Candelária, Natal - RN;R$ 850;109;4;5;5;2;R$ 470.000
Apartamento com 3 Quartos à Venda, 96m²;Avenida Almirante Alexandrino de Alencar - Tirol, Natal - RN;;96;3;2;2;2;R$ 540.000
Apartamento com Quarto à Venda, 47m²; | Ponta Negra, Natal - RN;;47;1;1;1;1;R$ 230.000
Apartamento com 2 Quartos à Venda, 56m²;Rua Vereador João Alves da Silva Filho - Tirol, Natal - RN;R$ 350;56;2;2;2;1;R$ 285.000
Apartamento com 4 Quartos à Venda, 170m²;Rua dos Tororós - Lagoa Nova, Natal - RN;;170;4;6;6;4;R$ 950.000
Apartamento com 2 Quartos à Venda, 56m²;Rua Desembargador José Gomes da Costa, 4522 - Capim Macio, Natal - RN;R$ 350;56;2;2;2;1;R$ 260.000
Apartamento com 2 Quartos à Venda, 50m²;Rua Getúlio Lopes de Araújo, 377 - Ponta Negra, Natal - RN;R$ 265;50;2;1;1;1;R$ 115.000
Apartamento com 3 Quartos à Venda, 92m²; | Capim Macio, Natal - RN;R$ 315;92;3;1;1;--;R$ 495.000
Apartamento com 4 Quartos à Venda, 196m²; | Barro Vermelho, Natal - RN;;196;4;2;2;2;R$ 550.000
Apartamento com 4 Quartos à Venda, 245m²;Avenida Xavier da Silveira - Tirol, Natal - RN;R$ 1.500;245;4;6;6;3;R$ 1.150.000
Apartamento com 4 Quartos à Venda, 142m²;Avenida Prudente de Morais - Lagoa Nova, Natal - RN;R$ 750;142;4;5;5;--;R$ 898.000
Apartamento com 2 Quartos à Venda, 60m²; | Tirol, Natal - RN;R$ 305;60;2;2;2;1;R$ 330.000
Apartamento com 4 Quartos à Venda, 480m²; | Petrópolis, Natal - RN;;480;4;6;6;5;R$ 5.426.400
Apartamento com 3 Quartos à Venda, 80m²; | Neópolis, Natal - RN;R$ 140;80;3;2;2;1;R$ 190.000
Apartamento com 3 Quartos à Venda/Aluguel 126m²;Rua Palmira Rêgo, 85 - Tirol, Natal - RN;R$ 1.268;126;3;5;5;2;R$ 650.000
Apartamento com 4 Quartos à Venda, 101m²; | Ponta Negra, Natal - RN;;101;4;3;3;2;R$ 595.000
Apartamento com 2 Quartos à Venda, 64m²;Rua Lúcia Viveiros, 255 - Neópolis, Natal - RN;;64;2;2;2;1;R$ 340.000
Apartamento com 2 Quartos à Venda, 53m²; | Pajuçara, Natal - RN;R$ 170;53;2;1;1;1;R$ 130.000
Apartamento com 3 Quartos à Venda, 128m²; | Barro Vermelho, Natal - RN;R$ 1.000;128;3;3;3;2;R$ 350.000
Apartamento com 3 Quartos à Venda, 120m²; | Lagoa Nova, Natal - RN;R$ 805;120;3;3;3;--;R$ 540.000
Apartamento com 4 Quartos à Venda, 282m²; | Ponta Negra, Natal - RN;R$ 1.200;282;4;6;6;4;R$ 890.000
Apartamento com 2 Quartos à Venda, 57m²;Avenida Prudente de Morais - Lagoa Nova, Natal - RN;;57;2;2;2;1;R$ 250.000
Apartamento com 2 Quartos à Venda, 51m²; | Candelária, Natal - RN;R$ 650;51;2;1;1;2;R$ 240.000
Apartamento com 3 Quartos à Venda, 203m²; | Candelária, Natal - RN;R$ 640;203;3;2;2;4;R$ 220.000
Apartamento com 2 Quartos à Venda, 56m²;Rua Carapeba, 115 - Ponta Negra, Natal - RN;R$ 300;56;2;2;2;1;R$ 220.000
Apartamento com 3 Quartos à Venda, 92m²; | Capim Macio, Natal - RN;R$ 500;92;3;2;2;2;R$ 470.000
Apartamento com 3 Quartos à Venda, 100m²; | Lagoa Nova, Natal - RN;R$ 750;100;3;3;3;2;R$ 480.000
Apartamento com 3 Quartos à Venda, 97m²; | Barro Vermelho, Natal - RN;R$ 600;97;3;2;2;2;R$ 350.000
Apartamento com 3 Quartos à Venda, 92m²;Rua Lúcia Viveiros - Neópolis, Natal - RN;;92;3;1;1;1;R$ 484.807
Apartamento com 4 Quartos à Venda, 163m²;Avenida Campos Sáles, 420 - Petrópolis, Natal - RN;;163;4;1;1;3;R$ 1.195.000
Apartamento com 4 Quartos à Venda, 175m²;Rua Mipibu, 757 - Petrópolis, Natal - RN;R$ 1.100;175;4;5;5;2;R$ 545.000
Apartamento com 4 Quartos à Venda, 160m²; | Tirol, Natal - RN;R$ 1.100;160;4;3;3;1;R$ 280.000
Apartamento com 2 Quartos à Venda, 47m²; | Pitimbu, Natal - RN;R$ 290;47;2;1;1;1;R$ 138.000
Apartamento com 2 Quartos à Venda, 47m²; | Pitimbu, Natal - RN;R$ 290;47;2;1;1;1;R$ 145.000
Apartamento com 2 Quartos à Venda, 47m²; | Pitimbu, Natal - RN;R$ 290;47;2;1;1;1;R$ 145.000
Apartamento com 3 Quartos à Venda, 123m²;Rua Jaguarari, 4985 - Candelária, Natal - RN;R$ 600;123;3;4;4;2;R$ 500.000
Apartamento com 2 Quartos à Venda, 53m²; | Capim Macio, Natal - RN;R$ 480;53;2;2;2;1;R$ 200.000
Apartamento com 4 Quartos à Venda, 148m²;Avenida Prudente de Morais, 95 - Lagoa Nova, Natal - RN;R$ 900;148;4;3;3;3;R$ 1.000.000
Apartamento com 4 Quartos à Venda, 171m²; | Lagoa Nova, Natal - RN;;171;4;4;4;4;R$ 1.150.000
Apartamento com 4 Quartos à Venda, 119m²;Rua Morais Navarro - Lagoa Nova, Natal - RN;;119;4;3;3;2;R$ 640.000
Apartamento com 3 Quartos à Venda, 118m²; | Petrópolis, Natal - RN;R$ 625;118;3;1;1;2;R$ 510.000
Apartamento com 2 Quartos à Venda, 54m²; | Ponta Negra, Natal - RN;;54;2;1;1;1;R$ 230.000
Apartamento com 2 Quartos à Venda, 56m²; | Cidade Satelite, Natal - RN;R$ 250;56;2;1;1;1;R$ 110.000
Apartamento com 3 Quartos à Venda, 87m²;Rua Anísio de Souza - Candelária, Natal - RN;;87;3;3;3;2;R$ 410.000
Apartamento com 4 Quartos à Venda, 165m²;Rua Capitão Abdon Nunes, 1125 - Tirol, Natal - RN;R$ 1.000;165;4;3;3;3;R$ 1.399.000
Apartamento com 2 Quartos para Venda/Aluguel 51m²; | Ponta Negra, Natal - RN;R$ 420;51;2;1;1;1;R$ 195.000
Apartamento com 2 Quartos à Venda, 56m²; | Bom Pastor, Natal - RN;;56;2;1;1;--;R$ 130.000
Apartamento com 2 Quartos à Venda, 44m²; | Guarapés, Natal - RN;;44;2;1;1;1;R$ 122.000
Apartamento com 2 Quartos à Venda, 69m²; | Lagoa Nova, Natal - RN;;69;2;2;2;--;R$ 190.000
Apartamento com 2 Quartos à Venda, 55m²; | Lagoa Nova, Natal - RN;;55;2;2;2;1;R$ 320.000
Apartamento com 2 Quartos à Venda, 47m²; | Pitimbu, Natal - RN;R$ 290;47;2;1;1;1;R$ 145.000
Apartamento com 2 Quartos à Venda, 58m²; | Planalto, Natal - RN;R$ 220;58;2;2;2;1;R$ 150.000
Apartamento com 4 Quartos à Venda, 208m²;Avenida Prudente de Morais, 1044 - Tirol, Natal - RN;;208;4;6;6;6;R$ 2.100.000
Apartamento com 2 Quartos à Venda, 82m²; | Barro Vermelho, Natal - RN;;82;2;1;1;1;R$ 473.400
Apartamento com 3 Quartos à Venda, 118m²; | Lagoa Nova, Natal - RN;R$ 750;118;3;4;4;2;R$ 660.000
Apartamento com 3 Quartos à Venda, 196m²;Rua Ismael Pereira da Silva - Capim Macio, Natal - RN;R$ 1.000;196;3;5;5;4;R$ 1.300.000
Apartamento com 3 Quartos à Venda, 101m²; | Barro Vermelho, Natal - RN;R$ 600;101;3;1;1;2;R$ 450.000
Apartamento com 2 Quartos à Venda, 56m²;Rua da Campina, 140 - Ponta Negra, Natal - RN;;56;2;1;1;1;R$ 204.900
Apartamento com 2 Quartos à Venda, 50m²; | Ponta Negra, Natal - RN;R$ 550;50;2;1;1;1;R$ 280.000
Apartamento com 3 Quartos à Venda, 81m²; | Lagoa Nova, Natal - RN;R$ 371;81;3;1;1;2;R$ 415.000
Apartamento com 3 Quartos à Venda; | Petrópolis, Natal - RN;;--;3;--;--;2;R$ 584.000
Apartamento com 2 Quartos à Venda, 54m²; | Candelária, Natal - RN;;54;2;1;1;--;R$ 230.000
Apartamento com 2 Quartos à Venda, 75m²; | PARNAMIRIM, Natal - RN;R$ 300;75;2;2;2;2;R$ 180.000
Apartamento com 2 Quartos à Venda, 55m²; | Neópolis, Natal - RN;R$ 230;55;2;1;1;1;R$ 120.000
Apartamento com 4 Quartos à Venda, 160m²; | Lagoa Nova, Natal - RN;;160;4;1;1;3;R$ 800.000
Apartamento com 2 Quartos à Venda, 60m²;Rua Vereador João Alves da Silva Filho, 743 - Petrópolis, Natal - RN;;60;2;1;1;1;R$ 290.000
Apartamento com 3 Quartos à Venda, 124m²; | Barro Vermelho, Natal - RN;R$ 1.200;124;3;1;1;2;R$ 490.000
Apartamento com Quarto à Venda, 44m²;Rua Praia do Bessa - Ponta Negra, Natal - RN;R$ 350;44;1;1;1;1;R$ 140.000
Apartamento com 3 Quartos à Venda, 117m²;Rua Tenente Olavo Francisco dos Santos - Ponta Negra, Natal - RN;R$ 450;117;3;4;4;3;R$ 590.000
Apartamento com 3 Quartos à Venda, 75m²;Rua Teotônio Freire, 34 - Ribeira, Natal - RN;R$ 330;75;3;1;1;2;R$ 260.000
Apartamento com 2 Quartos à Venda, 56m²; | Ponta Negra, Natal - RN;R$ 500;56;2;2;2;2;R$ 470.000
Apartamento com 3 Quartos à Venda, 75m²; | Ribeira, Natal - RN;;75;3;1;1;2;R$ 265.000
Apartamento com 3 Quartos à Venda, 75m²; | Ribeira, Natal - RN;;75;3;1;1;2;R$ 265.000
Apartamento com 3 Quartos à Venda, 75m²; | Ribeira, Natal - RN;;75;3;1;1;2;R$ 265.000
Apartamento com 3 Quartos à Venda, 75m²; | Ribeira, Natal - RN;;75;3;1;1;2;R$ 265.000
Apartamento com 3 Quartos à Venda, 75m²; | Ribeira, Natal - RN;;75;3;1;1;2;R$ 265.000
Apartamento com 3 Quartos à Venda, 75m²; | Ribeira, Natal - RN;;75;3;1;1;2;R$ 265.000
Apartamento com 3 Quartos à Venda, 75m²; | Ribeira, Natal - RN;;75;3;1;1;2;R$ 265.000
Apartamento com 3 Quartos à Venda, 75m²; | Ribeira, Natal - RN;;75;3;1;1;2;R$ 265.000
